row_number,token,description,filter,formula,index
232,,Kiss and ride Transit  - Destination zone densityIndex,knrTransitAvailable,c_densityIndex*densityIndex,
233,,Kiss and ride Transit  - Topology,knrTransitAvailable,c_topology_trn*destTopology,
234,,Kiss and ride Transit - Person is less than 10 years old,age<=10,c_age010_trn,
235,,Ride hail - In-vehicle time,,c_ivt*(HOV2TOLL_TIME[outPeriod]+HOV2TOLL_TIME[inPeriod]),"od,do"
236,,Ride hail - Wait time,,c_ivt*1.5*totalWaitTaxi,
237,,Ride hail - Tolls,,c_cost*(HOV2TOLL_VTOLL[outPeriod] + HOV2TOLL_VTOLL[inPeriod]),"od,do"
238,,Ride hail - Bridge toll,,c_cost*(HOV2TOLL_BTOLL[outPeriod] + HOV2TOLL_BTOLL[inPeriod]),"od,do"
239,,Ride hail - Fare,,c_cost*(costInitialTaxi*2 + (HOV2TOLL_DIST[outPeriod]+HOV2TOLL_DIST[inPeriod]) * costPerMileTaxi + (HOV2TOLL_TIME[outPeriod]+HOV2TOLL_TIME[inPeriod]) * costPerMinuteTaxi )*100,"od,do,od,do"
240,,Walk - Alternative-specific constant - Zero auto,indivTour*zeroAutoHh,1.57732586568781,
241,,Walk - Alternative-specific constant - Auto deficient,indivTour*autoDeficientHh,2.5500710615922202,
242,,Walk - Alternative-specific constant - Auto sufficient,indivTour*autoSufficientHh,1.9431761346474099,
243,,Bike - Alternative-specific constant - Zero auto,indivTour*zeroAutoHh,-1.7366540882323499E-2,
244,,Bike - Alternative-specific constant - Auto deficient,indivTour*autoDeficientHh,6.2182802486794198E-2,
245,,Bike - Alternative-specific constant - Auto sufficient,indivTour*autoSufficientHh,-1.48392933656572,
246,,Shared ride 2 - Alternative-specific constant - Zero auto,indivTour*zeroAutoHh,-1.43199457274731,
247,,Shared ride 2 - Alternative-specific constant - Auto deficient,indivTour*autoDeficientHh,0.88700714334679698,
248,,Shared ride 2 - Alternative-specific constant - Auto sufficient,indivTour*autoSufficientHh,0.70599617144003801,
249,,Shared ride 3+ - Alternative-specific constant - Zero auto,indivTour*zeroAutoHh,-1.79586316675695,
250,,Shared ride 3+ - Alternative-specific constant - Auto deficient,indivTour*autoDeficientHh,1.0642861726414901,
251,,Shared ride 3+ - Alternative-specific constant - Auto sufficient,indivTour*autoSufficientHh,0.55909458214101604,
252,,Walk to Transit - Alternative-specific constant - Zero auto,indivTour*zeroAutoHh,3.6358887906785,
253,,Walk to Transit - Alternative-specific constant - Auto deficient,indivTour*autoDeficientHh,0.15690495264132001,
254,,Walk to Transit - Alternative-specific constant - Auto sufficient,indivTour*autoSufficientHh,-1.6595498119666301,
255,,Park and ride Transit  - Alternative-specific constant - Zero auto,indivTour*zeroAutoHh,0,
256,,Park and ride Transit  - Alternative-specific constant - Auto deficient,indivTour*autoDeficientHh,0.53304116577437499,
257,,Park and ride Transit  - Alternative-specific constant - Auto sufficient,indivTour*autoSufficientHh,-2.5162425804656499,
258,,Kiss and ride Transit  - Alternative-specific constant - Zero auto,indivTour*zeroAutoHh,0,
259,,Kiss and ride Transit  - Alternative-specific constant - Auto deficient,indivTour*autoDeficientHh,0.53304116577437499,
260,,Kiss and ride Transit  - Alternative-specific constant - Auto sufficient,indivTour*autoSufficientHh,-2.5162425804656499,
261,,Taxi - Alternative-specific constant - Zero auto,indivTour*zeroAutoHh,0.37747431280016502,
262,,Taxi - Alternative-specific constant - Auto deficient,indivTour*autoDeficientHh,-0.203434063777161,
263,,Taxi - Alternative-specific constant - Auto sufficient,indivTour*autoSufficientHh,-2.27974912056504,
264,,Walk - Alternative-specific constant - Joint Tours,tourCategoryJoint*zeroAutoHh,-2.3505204046613102,
265,,Walk - Alternative-specific constant - Joint Tours,tourCategoryJoint*autoDeficientHh,-5.6817039430815797,
266,,Walk - Alternative-specific constant - Joint Tours,tourCategoryJoint*autoSufficientHh,-7.7874728886686002,
267,,Bike - Alternative-specific constant - Joint Tours,tourCategoryJoint*zeroAutoHh,-4.4556271225409203,
268,,Bike - Alternative-specific constant - Joint Tours,tourCategoryJoint*autoDeficientHh,-8.0967498335842301,
269,,Bike - Alternative-specific constant - Joint Tours,tourCategoryJoint*autoSufficientHh,-7.5927750116185697,
270,,Shared ride 2 - Alternative-specific constant - Joint Tours,tourCategoryJoint*zeroAutoHh,1.12790643435973,
271,,Shared ride 2 - Alternative-specific constant - Joint Tours,tourCategoryJoint*autoDeficientHh,1.7942435719105501,
272,,Shared ride 2 - Alternative-specific constant - Joint Tours,tourCategoryJoint*autoSufficientHh,0.36718430827121301,
273,,Shared ride 3+ - Alternative-specific constant - Joint Tours,tourCategoryJoint*zeroAutoHh,1.3763601573028801,
274,,Shared ride 3+ - Alternative-specific constant - Joint Tours,tourCategoryJoint*autoDeficientHh,-2.4868225477082002,
275,,Shared ride 3+ - Alternative-specific constant - Joint Tours,tourCategoryJoint*autoSufficientHh,-2.3150366951619401,
276,,Walk to Transit - Alternative-specific constant - Joint Tours,tourCategoryJoint*zeroAutoHh,-1.52520894642338,
277,,Walk to Transit - Alternative-specific constant - Joint Tours,tourCategoryJoint*autoDeficientHh,-6.2606050432642402,
278,,Walk to Transit - Alternative-specific constant - Joint Tours,tourCategoryJoint*autoSufficientHh,-7.4530509448000402,
279,,Drive to Transit  - Alternative-specific constant - Joint Tours,tourCategoryJoint*zeroAutoHh,0,
280,,Drive to Transit  - Alternative-specific constant - Joint Tours,tourCategoryJoint*autoDeficientHh,-5.6369494640971096,
281,,Drive to Transit  - Alternative-specific constant - Joint Tours,tourCategoryJoint*autoSufficientHh,-7.0277331325007601,
282,,Taxi - Alternative-specific constant - Zero auto - Joint Tours,tourCategoryJoint*zeroAutoHh,-4.5792091796996699,
283,,Taxi - Alternative-specific constant - Auto deficient - Joint Tours,tourCategoryJoint*autoDeficientHh,-9.8157175798197507,
284,,Taxi - Alternative-specific constant - Auto sufficient - Joint Tours,tourCategoryJoint*autoSufficientHh,-11.709876913156799,
285,,Walk to Transit - to CBD dummy,cbdDummy,0,
286,,Drive to Transit - to CBD dummy,cbdDummy,0,
287,,Walk to Transit - to San Francisco dummy,destCounty==1,1.2250000000000001,
288,,Drive to Transit - to San Francisco dummy,destCounty==1,1.05,
289,,Walk to Transit - Within SF dummy,(origCounty==1)*(destCounty==1),0.35,
290,,Drive to Transit - Within SF dummy,(origCounty==1)*(destCounty==1),0.35,
291,,Walk to Transit - from San Francisco dummy,origCounty==1,8.7499999999999994E-2,
292,,Drive to Transit - from San Francisco dummy,origCounty==1,1.2250000000000001,
293,,Drive to Transit - distance penalty,,"min(0,c_drvtrn_distpen_0*(1-DIST/c_drvtrn_distpen_max))",od
294,,Walk not available for long distances,DISTWALK>3,1,od
295,,Bike not available for long distances,DISTBIKE>8,1,od
